,date,comment,rate,resturant name,preprocessed comment
70,2023-08-11,خیلی خوب بود. مخصوصاً که خیلی زودتر از تایم گفته شده ارسال کردن.,۵,فست فود کلوا,خوب مخصوصا زود تا گفتهشده ارسال
71,2023-09-03,طعم غذا فوق‌العاده بود و خیلی زود به دستم رسید.,۵,فست فود کلوا,طعم غذا فوقالعاده زود دستم
72,2023-08-27,ممنون خیلی زود رسید. کیفیت پیتزا خوب بود، فقط کاش گوجه نزارید داخل پیتزا,۵,فست فود کلوا,ممنون زود کیفیت پیتزا خوب کاش گوجه نزارید داخل پیتزا
73,2023-08-17,عالی و بی نظیر,۵,فست فود کلوا,عالی بینظیر
74,2023-08-15,سلام سفارش خیلی زودتر از چیزی که فکر میکردم بدستم رسید.غذا داغ بود ومثل همیشه عالی,۵,فست فود کلوا,سلام سفارش زود میکردم بدستید#بدست غذا داغ ومثل عالی
75,2023-09-01,خیلی خوب بود زودتر از حدانتظار بدستم رسید,۵,فست فود کلوا,خوب زود حدانتظار بدستید#بدست
76,2023-08-22,مرغ و سیب زمینی ظاهرش نشون میداد برای شب گذشته هست مونده بود کیفیت افتضاح بود واقعا,not rated,فست فود کلوا,مرغ سیبزمینی ظاهر نشون میداد شب گذشته هست موندهبود کیفیت افتضاح واقعا
77,2023-09-08,مثل همیشه عالی,۵,فست فود کلوا,عالی
78,2022-10-22,بدترین کیفیت ممکن درمورد همه چیز,not rated,فست فود کلوا,بد کیفیت درمورد
79,2022-11-19,مرغ سوخاری بو میداد و به توضیحات توجه ای نشده بود.,۲,فست فود کلوا,مرغ سوخاری بو میداد توضیحات توجهای نشدهبود
80,2023-06-29,مرغش توش خون داشت و نپخته بود یجا انداختم اشغالی,not rated,فست فود کلوا,مرغ تو خون نپختهبود یجا انداخت#انداز اشغال
81,2023-06-02,کراکف عالی بود ، مرغها خوش طعم ..حیف که حجم سیب زمینی ها به نسبت قیمت ، کم بود و سرد ماسیده بدستم رسید . البته مسئول سفارشات کلوا هم دقت نکرده بودن و غذا رو به ادرس پدرم ارسال کرده بودن!!,۳,فست فود کلوا,کراکف عالی مرغ خوشطعم حیف حجم سیبزمینیها نسبت قیمت کم سرد ماسیده بدستید#بدست مسئول سفارشات کلوا دقت کرد#کن غذا ادرس پدر ارسال
82,2022-02-23,معمولی بود,۴,فست فود کلوا,معمولی
83,2023-05-27,تکه های گوشت تقریبا خام و کیفیت پایین بود,not rated,فست فود کلوا,تکه گوشت تقریبا خام کیفیت پایین
84,2023-04-16,عالی بود . فقط بسته مرغ سوخاری خیلی له شده بود,۵,فست فود کلوا,عالی بسته مرغ سوخاری لهشده
85,2022-01-16,واقعا رو دست ندارین,۵,فست فود کلوا,واقعا دست ندارین
86,2023-05-26,عالی,۵,فست فود کلوا,عالی
87,2023-05-31,پیک نامناسب,۵,فست فود کلوا,پیک نامناسب
88,2023-04-30,عالی بود,۵,فست فود کلوا,عالی
89,2022-02-24,مثل همیشه عالی,۵,فست فود کلوا,عالی
90,2023-05-24,عالی بود,۵,فست فود کلوا,عالی
91,2023-04-29,"کیفیت غذا خوب بود
ولی ۴ تا تیکه
۳ تا متوسط بود و یکی خیلی کوچیک
و از طرفی نسبت به همیشه تند بود",۴,فست فود کلوا,کیفیت غذا خوب تیکه متوسط کوچیک طرف نسبت تند
92,2022-11-04,مثل همیشه عالی بود,۵,فست فود کلوا,عالی
93,2022-01-04,عالی بود,۵,فست فود کلوا,عالی
94,2022-03-08,عالی,۵,فست فود کلوا,عالی
95,2022-12-08,پیتزا خوب بود دونر مخلوط سرد بود و روغن زیاد داشت و نون به مواد چسبیده بود و بد بود,۳,فست فود کلوا,پیتزا خوب دونر مخلوط سرد روغن زیاد نون مواد چسبیدهبود بد
96,2022-11-05,کلوا حرف نداره,۵,فست فود کلوا,کلوا حرف نداره
97,2022-07-02,عالی,۵,فست فود کلوا,عالی
98,2023-05-17,همه چی عالی بود فقط نان سیرش برای من غیر قابل خوردن بود اگه ساقه های سیر نباشن خیلی بهترن وگرنه همه چی عااالی با قیمت عااالی,۵,فست فود کلوا,چی عالی نان سیر خوردن اگه ساقه سیر نباشن بهترن وگرنه چی عالی قیمت عالی
99,2023-06-29,عالی عالی غذا گرم بود بوی خوبی میداد و خیلی سریع رسید ممنون از شما موفق باشید,۵,فست فود کلوا,عالی عالی غذا گرم بو میداد سریع ممنون موفق بود#باش
100,2022-09-17,عالی مثل همیشه,۵,فست فود کلوا,عالی
101,2023-06-30,خیلی خوب بود ممنونم از شما,۵,فست فود کلوا,خوب ممنون
102,2023-04-07,"با سلام 
کیفیت غذا خوب بود و راضی بودم
همیشه در کنار مرغ سوخاری سه تکه اسپایسی، سس یک نفره سیر و سالاد کلم هم می ذاشتن اما این سری سس سیر و سالاد کلم نداشت!!!",۴,فست فود کلوا,سلام کیفیت غذا خوب راضی بود#باش مرغ سوخاری تکه اسپایسی سس نفره سیر سالاد کلم میذاشتن سری سس سیر سالاد کلم داشت#دار
103,2022-12-03,خیلی خیلی تند بود اصلا نتونستم بخورم,۳,فست فود کلوا,تند اصلا نتونستم خورد#خور
104,2023-05-21,خیلی کوچیک بود,۲,فست فود کلوا,کوچیک
105,2023-07-08,سالاد کلم رو می‌نويسن ولی نمیدن,۳,فست فود کلوا,سالاد کلم مینویسن نمیدن
106,2023-06-30,طعم جالبی نداشت,۳,فست فود کلوا,طعم جالب داشت#دار
107,2022-08-28,"متاسفانه نان گرد و سالاد کلم که همیشه با مرغ سوخاری بود حذف شده بود
پیتزا هم ظاهر جالبی نداشت مثل سوخته ها رنگش تیره بود ولی خوراکش خوب بود 
پنیر سوخاری بسیار بی مزه و بی کیفیت بود",۴,فست فود کلوا,نان گرد سالاد کلم مرغ سوخاری حذفشده پیتزا ظاهر جالب داشت#دار سوخته رنگ تیره خوراک خوب پنیر سوخاری بیمزه بیکیفیت
108,2022-11-05,"بسیار افتضاح بود
پیتزا کینگ به شدت شور بود و سوخته بود همه ی سوسیس های روی پیتزا سیاه بود
خیلی خیلی افتضاح بود
بدار از این نمیشد",not rated,فست فود کلوا,افتضاح پیتزا کینگ شدت شور سوختهبود همه سوسیس پیتزا سیاه افتضاح بدار نمیشد
109,2022-08-09,نان گذاشته نشده بود,۴,فست فود کلوا,نان گذاشتهنشدهبود
110,2023-06-03,"با این که دفعات قبلی میگرفتم خیلی خوب بود ولی این دفعه نصفش خیلی زیاد شور بود. انگار یکی اشتباهی نمکدون رو روی پیتزا خالی کرده بود.
ولی بجز این مورد بقیه دفعه ها خوب بود",۳,فست فود کلوا,دفعات قبل میگرفتم خوب دفعه نصف زیاد شور انگار اشتباه نمکدون پیتزا خال کردهبود بجز بقیه دفعه خوب
111,2022-05-29,اصلا خوب نبود روش از برشته اونوز تر بود و طعم ترشی داشت,not rated,فست فود کلوا,اصلا خوب برشته اونوزتر طعم ترشی
112,2023-07-20,سس خیلی بد مزه بود,۳,فست فود کلوا,سس بد مزه
113,2022-01-17,"کیفیت سوسیس کالباس بسیار پایین بود
فیله هم با اینکه تو منو نوشته بود سالاد کلم داره نذاشته بودن ",not rated,فست فود کلوا,کیفیت سوسیس کالباس پایین فیله منو نوشتهبود سالاد کلم داره نذاشته
114,2023-06-04,پاستاش نسبت به حجمش خیلی گرون بود واصلا خوشمزه نبود,۴,فست فود کلوا,پاستاش نسبت حجم گرون واصلا خوشمزه
115,2022-01-08,حجم غذا بسیارررررر کم شده و بزوووور گوشت رو حس میکنی وسط نون پیتزا! انگار داری نون با پنیر پیتزا میخوری,۴,فست فود کلوا,حجم غذا کم بزوور گوشت حس میکنی وسط نون پیتزا انگار داشت#دار نون پنیر پیتزا میخوری
116,2023-07-17,کیفت غذا نسبت به قبل خیلی افت داشته و این باعث تأسف‌ه,۴,فست فود کلوا,کیف غذا نسبت افت تأسفه
117,2022-02-14,بالا بودن قیمت,۵,فست فود کلوا,بالا قیمت
118,2023-03-31,کلا مزه ای حس نکردم,not rated,فست فود کلوا,کلا مزهای حس کرد#کن
119,2023-07-23,هزینه بسته بندی اخذ شده ولی بسته بندی نداشت,۳,فست فود کلوا,هزینه بسته اخذ بسته داشت#دار
120,2023-06-27,"کیفیت بد نبود، عالی هم نبود
برای سالاد فراموش کرده بودند چنگال یا قاشق بگذارند و توی اتاق هتل من چنگال نبود!!!",۳,فست فود کلوا,کیفیت بد عالی سالاد فراموش کردهبودند چنگال قاشق گذاشت#گذار تو اتاق هتل چنگال
121,2022-12-10,غذا سرد بود در جعبه به صورت نا مناسب قرار کرفته بود,۳,فست فود کلوا,غذا سرد جعبه صورت نا قرار کرفته
122,2022-04-25,عالی بود,۵,فست فود کلوا,عالی
123,2023-04-16,مقدار سیب زمینی بشدت کم بود، کنار سیب زمینی چنگال یکبارمصرف گزاشته نشده بود. بسته بندی مناسب و چیزبرگر هم مثل همیشه عالی.,۳,فست فود کلوا,مقدار سیبزمینی بشدت کم سیبزمینی چنگال یکبارمصرف گزاشته نشدهبود بسته چیزبرگر عالی
124,2023-05-20,مرغش خیلی پر از ادویه بود دل آدم و میزنه,۳,فست فود کلوا,مرغ ادویه دل آدم میزنه
125,2021-12-19,خیییلی زیاد تند بود .پاستا پنه ای که سفارش دادم,۴,فست فود کلوا,زیاد تند پاستا پنهای سفارش داد#ده
126,2023-07-17,عالی مثل همیشه ، هم طعم غذا رو دوست داشتم هم کیفیت و هم بسته بندی ، با توجه به قیمت حجم مناسبی هم داره نسبت ب سایر فست فود ها ، سپاسگزارم کلوا,۵,فست فود کلوا,عالی طعم غذا دوست داشت#دار کیفیت بسته توجه قیمت حجم مناسب داره نسبت ب فست فودها سپاسگزار کلوا
127,2022-09-16,پیتزا کاملا سرد و بی کیفیت بود چه از لحاظ موادی و چه از لحاظ خمیر پیتزا،به نظرم کاملا مونده بود،اصلا راضی نبودم,not rated,فست فود کلوا,پیتزا سرد بیکیفیت مواد خمیر پیتزا نظر موندهبود اصلا راضی بود#باش
128,2022-11-28,پیتزا سرد شده بود .. کنجد های روش هم سوخته بود,۳,فست فود کلوا,پیتزا سرد شدهبود کنجد سوختهبود
129,2022-08-11,نون باگت بیات بود,۲,فست فود کلوا,نون باگت بیات
130,2022-11-18,کیفیت افتضاح,not rated,فست فود کلوا,کیفیت افتضاح
131,2022-05-05,عالی بود واقعا همه چی,۵,فست فود کلوا,عالی واقعا چی
132,2023-07-14,میتونست خیلی کیفیت بهتری داشته باشه ..خیلی خام بود سوخاری ها خیلیی,۲,فست فود کلوا,میتونست کیفیت بهتر باشه خام سوخاری خیل
133,2023-06-21,خیلی خوب و خوشمزه,۵,فست فود کلوا,خوب خوشمزه
134,2023-05-19,خوب بود,۵,فست فود کلوا,خوب
